continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,total_tests,new_tests,tests_per_case,total_vaccinations,people_vaccinated,population,total_death
Asia,India,30-01-2020,1,13,0,0,1.49,4,18,13125,21294,13,61,191181,1393409033,0
Asia,India,31-01-2020,1,6,0,0,1.51,5,17,13316,10705,6,62,224301,1393409033,0
Asia,India,01-02-2020,1,11,0,1,1.67,6,18,14376,9584,11,63,454049,1393409033,1
Asia,India,02-02-2020,2,9,1,2,1.8,7,26,15701,11534,9,324,674835,1393409033,3
Asia,India,03-02-2020,3,20,1,3,2.06,8,32,16999,12947,20,456,806484,1393409033,4
Asia,India,04-02-2020,3,11,2,4,2.26,9,44,20707,13904,11,234,1043534,1393409033,6
Asia,India,05-02-2020,3,6,2,5,2.37,10,36,20864,16991,6,678,1390592,1393409033,7
Asia,India,06-02-2020,3,23,2,6,2.33,69,38,25144,16420,23,243,1582201,1393409033,8
Asia,India,07-02-2020,3,14,2,7,2.23,60,41,55667,18044,14,34,1615504,1393409033,9
Asia,India,08-02-2020,3,38,3,13,2.11,71,55,27688,16374,38,191181,2023809,1393409033,16
Asia,India,09-02-2020,3,50,3,37,2.06,75,61,5365,21806,50,224301,2029480,1393409033,40
Asia,India,10-02-2020,3,86,4,14,2.02,94,80,4556,27339,86,454049,2355979,1393409033,18
Asia,India,11-02-2020,3,66,5,28,2.07,97,98,33456,29706,66,674835,2928053,1393409033,33
Asia,India,12-02-2020,3,103,4,48,2.02,90,133,5753,28357,103,806484,3500027,1393409033,52
Asia,India,13-02-2020,3,37,7,20,2.11,93,151,35257,32167,37,1043534,3744334,1393409033,27
Asia,India,14-02-2020,3,121,10,42,2.32,96,177,47951,37000,121,1390592,3758843,1393409033,52
Asia,India,15-02-2020,3,70,10,43,2.51,93,218,69245,29463,70,1582201,3950156,1393409033,53
Asia,India,16-02-2020,3,160,12,27,2.7,87,239,79950,41247,160,1615504,4138918,1393409033,39
Asia,India,17-02-2020,3,100,20,35,2.55,87,290,89534,38168,100,2023809,4449552,1393409033,55
Asia,India,18-02-2020,3,37,20,12,2.31,84,331,101068,45352,37,2029480,4959445,1393409033,32
Asia,India,19-02-2020,3,227,24,43,2.31,84,380,114015,40510,227,2355979,5416849,1393409033,67
Asia,India,20-02-2020,3,146,27,38,2.32,79,442,127919,50914,146,2928053,5775322,1393409033,65
Asia,India,21-02-2020,3,601,32,35,2.28,77,513,144910,54031,601,3500027,5812362,1393409033,67
Asia,India,22-02-2020,3,545,35,38,2.07,79,571,161330,59437,545,3744334,6259008,1393409033,73
Asia,India,23-02-2020,3,24,58,33,1.88,80,596,179374,72453,24,3758843,6611561,1393409033,91
Asia,India,24-02-2020,3,515,72,53,1.81,66,656,195748,73709,515,3950156,7017114,1393409033,125
Asia,India,25-02-2020,3,506,72,36,1.76,62,655,217554,70087,506,4138918,7505010,1393409033,108
Asia,India,26-02-2020,3,1190,86,40,1.66,61,704,244893,60783,1190,4449552,7967647,1393409033,126
Asia,India,27-02-2020,3,533,99,59,1.61,54,738,274599,84713,533,4959445,8044786,1393409033,158
Asia,India,28-02-2020,3,605,136,45,1.57,52,702,302956,84835,605,5416849,8044787,1393409033,181
Asia,India,29-02-2020,3,809,150,56,1.53,48,829,335123,85425,809,5775322,8418653,1393409033,206
Asia,India,01-03-2020,3,873,178,58,1.45,48,828,372123,85824,873,5812362,8641002,1393409033,236
Asia,India,02-03-2020,5,848,226,69,1.44,49,837,401586,64651,848,6259008,8844641,1393409033,295
Asia,India,03-03-2020,5,759,246,71,1.45,47,838,401587,85891,759,6611561,9381591,1393409033,317
Asia,India,04-03-2020,28,1248,288,75,1.46,47,825,401588,94671,1248,7017114,9693000,1393409033,363
Asia,India,05-03-2020,30,1034,331,69,1.46,45,856,401589,92791,1034,7505010,9964383,1393409033,400
Asia,India,06-03-2020,31,835,358,100,1.38,42,853,500542,92911,835,7967647,10124531,1393409033,458
Asia,India,07-03-2020,34,1108,393,68,1.38,41,868,541789,94325,1108,8052454,10308552,1393409033,461
Asia,India,08-03-2020,39,922,405,175,1.35,40,868,579957,93365,922,8052455,10585757,1393409033,580
Asia,India,09-03-2020,43,1370,448,127,1.35,38,881,625309,75150,1370,8516771,10884879,1393409033,575
Asia,India,10-03-2020,56,1893,486,92,1.33,38,856,665819,101475,1893,8857341,11206188,1393409033,578
Asia,India,11-03-2020,62,924,521,104,1.32,39,852,716733,108121,924,9186757,11552857,1393409033,625
Asia,India,12-03-2020,73,1541,559,96,1.3,36,811,770764,103532,28.4,9846523,11788669,1393409033,655
