continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,total_tests,new_tests,tests_per_case,total_vaccinations,people_vaccinated,population_x,total_death,positive_rate,year,month,day,weekday,new_deaths_total,new_cases_total,population_y,median_age,aged_65_older,aged_70_older,cases_per_million,deaths_per_million,tests_per_million
Asia,India,2020-01-30,1,13.0,0,0.0,1.49,4,18,13125,21294,13.0,61,191181,1393409033,0,0.0009904761904761905,2020,1,30,3,0.0,13.0,1393409033,18.6,2.581,1.337,0.009329636662402776,0.0,9.419344707233572
Asia,India,2020-01-31,1,6.0,0,0.0,1.51,5,17,13316,10705,6.0,62,224301,1393409033,0,0.0004505857614899369,2020,1,31,4,0.0,19.0,1393409033,18.6,2.581,1.337,0.013635622814280981,0.0,9.556418599735029
Asia,India,2020-01-02,1,11.0,0,1.0,1.67,6,18,14376,9584,11.0,63,454049,1393409033,1,0.000765164162493044,2020,1,2,3,1.0,30.0,1393409033,18.6,2.581,1.337,0.02152993075939102,0.0007176643586463674,10.317142819900178
Asia,India,2020-02-02,2,9.0,1,2.0,1.8,7,26,15701,11534,9.0,324,674835,1393409033,3,0.0005732118973313802,2020,2,2,6,3.0,39.0,1393409033,18.6,2.581,1.337,0.02798890998720833,0.0021529930759391024,11.268048095106614
Asia,India,2020-03-02,3,20.0,1,3.0,2.06,8,32,16999,12947,20.0,456,806484,1393409033,4,0.0011765397964586153,2020,3,2,0,6.0,59.0,1393409033,18.6,2.581,1.337,0.04234219716013568,0.004305986151878205,12.1995764326296
Asia,India,2020-04-02,3,11.0,2,4.0,2.26,9,44,20707,13904,11.0,234,1043534,1393409033,6,0.0005312213261216014,2020,4,2,3,10.0,70.0,1393409033,18.6,2.581,1.337,0.050236505105245716,0.007176643586463674,14.86067587449033
Asia,India,2020-05-02,3,6.0,2,5.0,2.37,10,36,20864,16991,6.0,678,1390592,1393409033,7,0.00028757668711656444,2020,5,2,5,15.0,76.0,1393409033,18.6,2.581,1.337,0.054542491257123925,0.01076496537969551,14.97334917879781
Asia,India,2020-06-02,3,23.0,2,6.0,2.33,69,38,25144,16420,23.0,243,1582201,1393409033,8,0.0009147311485841553,2020,6,2,1,21.0,99.0,1393409033,18.6,2.581,1.337,0.07104877150599037,0.015070951531573716,18.04495263380426
Asia,India,2020-07-02,3,14.0,2,7.0,2.23,60,41,55667,18044,14.0,34,1615504,1393409033,9,0.00025149550002694597,2020,7,2,3,28.0,113.0,1393409033,18.6,2.581,1.337,0.08109607252703951,0.020094602042098286,39.950221852767335
Asia,India,2020-08-02,3,38.0,3,13.0,2.11,71,55,27688,16374,38.0,191181,2023809,1393409033,16,0.0013724357122219012,2020,8,2,6,41.0,151.0,1393409033,18.6,2.581,1.337,0.10836731815560148,0.029424238704501064,19.87069076220062
Asia,India,2020-09-02,3,50.0,3,37.0,2.06,75,61,5365,21806,50.0,224301,2029480,1393409033,40,0.009319664492078284,2020,9,2,2,78.0,201.0,1393409033,18.6,2.581,1.337,0.14425053608791985,0.05597781997441666,3.8502692841377613
Asia,India,2020-10-02,3,86.0,4,14.0,2.02,94,80,4556,27339,86.0,454049,2355979,1393409033,18,0.01887620719929763,2020,10,2,4,92.0,287.0,1393409033,18.6,2.581,1.337,0.20596967093150745,0.0660251209954658,3.2696788179928498
